lon,lat,ssrd
97.30000305,1.399999976,17043948.76
97.30000305,3.200000048,16738252.06
97.30000305,3.299999952,16568606.52
97.30000305,3.400000095,16242042.42
97.30000305,3.5,15916746.03
97.30000305,3.599999905,15610273.02
97.30000305,3.700000048,15316548.37
97.30000305,3.799999952,15112909.62
97.30000305,3.900000095,15181059.84
97.30000305,4,15299085.27
97.30000305,4.099999905,15461409.42
97.30000305,4.199999809,15736225.22
97.30000305,4.300000191,16019266.91
97.30000305,4.400000095,16328211.24
97.30000305,4.5,16668499.4
97.30000305,4.599999905,17012633.42
97.30000305,4.699999809,17313152.45
97.30000305,4.800000191,17600075.62
97.30000305,4.900000095,17869599.79
97.30000305,5,17985780.63
97.30000305,5.099999905,18042400.37
97.40000153,1.100000024,16400470.84
97.40000153,1.200000048,16555352.52
97.40000153,1.299999952,16729698.56
97.40000153,1.399999976,16953706.17
97.40000153,1.5,17043492.96
97.40000153,3,16750758.25
97.40000153,3.099999905,16651634.55
97.40000153,3.200000048,16568798.81
97.40000153,3.299999952,16321815.7
97.40000153,3.400000095,16003840.71
97.40000153,3.5,15799995.42
97.40000153,3.599999905,15647962.54
97.40000153,3.700000048,15422067.61
97.40000153,3.799999952,15215380.66
97.40000153,3.900000095,15273232.49
97.40000153,4,15392895.98
97.40000153,4.099999905,15558182.87
97.40000153,4.199999809,15815848.95
97.40000153,4.300000191,16101568.5
97.40000153,4.400000095,16413952.75
97.40000153,4.5,16760244.73
97.40000153,4.599999905,17092164.56
97.40000153,4.699999809,17386807.96
97.40000153,4.800000191,17671900.78
97.40000153,4.900000095,17941902.12
97.40000153,5,18058090.09
97.40000153,5.099999905,18113890.79
97.40000153,5.199999809,18164171.97
97.5,1,15971549.66
97.5,1.100000024,16096675.7
97.5,1.200000048,16175238.26
97.5,1.299999952,16340496.66
97.5,1.399999976,16659782.1
97.5,3,16529221.98
97.5,3.099999905,16409067.07
97.5,3.200000048,16306225.69
97.5,3.299999952,16065609.63
97.5,3.400000095,15853823.34
97.5,3.5,15700850.36
97.5,3.599999905,15613855.38
97.5,3.700000048,15500259.82
97.5,3.799999952,15344331.21
97.5,3.900000095,15404063.25
97.5,4,15529331.73
97.5,4.099999905,15694789.55
97.5,4.199999809,15940754.22
97.5,4.300000191,16207358.38
97.5,4.400000095,16518745.54
97.5,4.5,16850715.23
97.5,4.599999905,17168647.49
97.5,4.699999809,17462478.98
97.5,4.800000191,17742992.37
